127.0.0.1 - - [01/Jun/2016:12:14:41 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:14:44 +0530] "GET /SpringMvcCurdProject/ HTTP/1.1" 200 2980
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:14:44 +0530] "GET /SpringMvcCurdProject/css/sbi_css.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:14:44 +0530] "GET /SpringMvcCurdProject/script/sbi.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:14:44 +0530] "GET /images/dot.gif HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:14:44 +0530] "GET /SpringMvcCurdProject/css/calendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:14:44 +0530] "GET /SpringMvcCurdProject/images/login_left_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:14:44 +0530] "GET /SpringMvcCurdProject/images/div_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:14:44 +0530] "GET /SpringMvcCurdProject/images/login_bg_right.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:14:44 +0530] "GET /SpringMvcCurdProject/images/login_bg_right_dw.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:14:44 +0530] "GET /SpringMvcCurdProject/images/slokamLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:14:44 +0530] "GET /SpringMvcCurdProject/images/top_nav_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:14:44 +0530] "GET /SpringMvcCurdProject/images/login_bg_right_mid.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:14 +0530] "POST /SpringMvcCurdProject/loginprocess.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:15 +0530] "GET /SpringMvcCurdProject/geoHirachDisplay.do HTTP/1.1" 200 5892
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:15 +0530] "GET /SpringMvcCurdProject/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:18 +0530] "POST /SpringMvcCurdProject/geoHierList.do HTTP/1.1" 200 5810
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:44 +0530] "GET /SpringMvcCurdProject/geoHierList.do HTTP/1.1" 200 5810
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:44 +0530] "GET /SpringMvcCurdProject/css/sbi_css.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:44 +0530] "GET /SpringMvcCurdProject/script/sbi.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:44 +0530] "GET /SpringMvcCurdProject/css/calendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:44 +0530] "GET /SpringMvcCurdProject/images/slokamLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:44 +0530] "GET /SpringMvcCurdProject/images/logout.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:44 +0530] "GET /SpringMvcCurdProject/images/top_nav_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:44 +0530] "GET /SpringMvcCurdProject/images/top_tab.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:44 +0530] "GET /SpringMvcCurdProject/images/top_tab_sel.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:44 +0530] "GET /SpringMvcCurdProject/images/left_tab_sel.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:44 +0530] "GET /SpringMvcCurdProject/images/left_tab_sel_img.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:12:15:44 +0530] "GET /favicon.ico HTTP/1.1" 404 973
